date,scheduled_date_count,pickup_date_count_lag_7,scheduled_date_count_7,pickup_date_count_lag_14,scheduled_date_count_14,pickup_date_count_lag_21,scheduled_date_count_21
2023-12-13,20,33.0,43.0,31.0,32.0,25.0,25.0
2023-12-14,59,32.0,41.0,41.0,44.0,39.0,38.0
2023-12-15,18,0.0,1.0,0.0,7.0,0.0,2.0
2023-12-16,13,0.0,13.0,0.0,1.0,0.0,3.0
2023-12-17,0,0.0,0.0,0.0,0.0,0.0,1.0
2023-12-18,40,32.0,33.0,51.0,68.0,80.0,80.0
2023-12-19,35,29.0,25.0,41.0,27.0,36.0,36.0
2023-12-20,51,21.0,20.0,33.0,43.0,31.0,32.0
2023-12-21,29,44.0,59.0,32.0,41.0,41.0,44.0
2023-12-22,12,0.0,18.0,0.0,1.0,0.0,7.0
2023-12-23,23,0.0,13.0,0.0,13.0,0.0,1.0
2023-12-24,1,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-25,1,46.0,40.0,32.0,33.0,51.0,68.0
2023-12-26,2,35.0,35.0,29.0,25.0,41.0,27.0
2023-12-27,65,38.0,51.0,21.0,20.0,33.0,43.0
2023-12-28,56,30.0,29.0,44.0,59.0,32.0,41.0
2023-12-29,18,0.0,12.0,0.0,18.0,0.0,1.0
2023-12-30,3,0.0,23.0,0.0,13.0,0.0,13.0
2023-12-31,0,0.0,1.0,0.0,0.0,0.0,0.0
2024-01-01,3,0.0,1.0,46.0,40.0,32.0,33.0
2024-01-02,12,0.0,2.0,35.0,35.0,29.0,25.0
2024-01-03,52,68.0,65.0,38.0,51.0,21.0,20.0
2024-01-04,50,45.0,56.0,30.0,29.0,44.0,59.0
2024-01-05,13,0.0,18.0,0.0,12.0,0.0,18.0
2024-01-06,19,0.0,3.0,0.0,23.0,0.0,13.0
2024-01-07,18,0.0,0.0,0.0,1.0,0.0,0.0
2024-01-08,76,0.0,3.0,0.0,1.0,46.0,40.0
2024-01-09,32,39.0,12.0,0.0,2.0,35.0,35.0
2024-01-10,14,33.0,52.0,68.0,65.0,38.0,51.0
2024-01-11,34,39.0,50.0,45.0,56.0,30.0,29.0
2024-01-12,8,1.0,13.0,0.0,18.0,0.0,12.0
2024-01-13,8,0.0,19.0,0.0,3.0,0.0,23.0
